Dataset,Algorithm,MEI
Sphere,RCI,0.7005490469630373
Sphere,KMeans,0.12335278006100436
Sphere,DBSCAN,0.5611450718314863
Sphere,HDBSCAN,0.44136723542330303
Sphere,Spectral,0.09943213850002997
Sphere,GMM,0.1254590194574745
Saddle,RCI,0.03175189336044293
Saddle,KMeans,0.056783859700380246
Saddle,DBSCAN,0.5170319810585661
Saddle,HDBSCAN,0.4105536262591831
Saddle,Spectral,0.07288415348353694
Saddle,GMM,0.06668385977039382
Torus,RCI,0.740591072038374
Torus,KMeans,0.029986647633967523
Torus,DBSCAN,0.0029618981169887704
Torus,HDBSCAN,0.4399527187043387
Torus,Spectral,0.03315946461578456
Torus,GMM,0.03048056349297179
Dumbbell,RCI,0.7458365388891994
Dumbbell,KMeans,0.002856302207682959
Dumbbell,DBSCAN,0.2550008198896916
Dumbbell,HDBSCAN,0.26896596346386936
Dumbbell,Spectral,0.002856302207682959
Dumbbell,GMM,0.002570819484103759
Link,RCI,0.4654590943738979
Link,KMeans,0.036233730774391626
Link,DBSCAN,0.015132373838394941
Link,HDBSCAN,0.09504925019363542
Link,Spectral,0.03306495527922615
Link,GMM,0.03143199025442933
Spiral,RCI,0.6097461211764807
Spiral,KMeans,0.02786271149621633
Spiral,DBSCAN,0.02780173733625635
Spiral,HDBSCAN,0.2991771222341315
Spiral,Spectral,0.034953181970076797
Spiral,GMM,0.03277354420800005
SwissRoll,RCI,0.6062014304396728
SwissRoll,KMeans,0.022423022361061196
SwissRoll,DBSCAN,0.1715184861129676
SwissRoll,HDBSCAN,0.042355034151032145
SwissRoll,Spectral,0.03780114042081528
SwissRoll,GMM,0.022677414948145347
TrefoilKnot,RCI,0.676194020643194
TrefoilKnot,KMeans,0.028938074834826133
TrefoilKnot,DBSCAN,0.048135267215449584
TrefoilKnot,HDBSCAN,0.37406238614165266
TrefoilKnot,Spectral,0.028025318871244598
TrefoilKnot,GMM,0.03179353826523246
